image_id,angle,speed
18001,0.5,1
18029,0.5,1
18033,0.5,1
18034,0.5,1
18035,0.5,1
18036,0.5,1
18037,0.5,1
18038,0.5,1
18039,0.5625,1
18040,0.5625,1
18041,0.625,1
18052,0.625,1
18053,0.4375,1
18054,0.5,1
18055,0.5,1
18056,0.5,1
18057,0.375,1
18058,0.25,1
18059,0.25,1
18060,0.125,1
18061,0.1875,1
18062,0.25,1
18063,0.3125,1
18064,0.1875,1
18065,0.25,1
18066,0.1875,1
18067,0.375,1
18068,0.375,1
18069,0.4375,1
18070,0.5,1
18071,0.5,1
18072,0.5625,1
18073,0.5,1
18074,0.4375,1
18075,0.4375,1
18076,0.5,1
18077,0.5,1
18078,0.25,1
18079,0.3125,1
18080,0.25,1
18081,0.1875,1
18082,0.1875,1
18083,0.1875,1
18084,0.1875,1
18085,0.1875,1
18086,0.3125,1
18087,0.1875,1
18088,0.3125,1
18089,0.4375,1
18090,0.5,1
18091,0.5,1
18092,0.5625,1
18093,0.5,1
18094,0.4375,1
18095,0.5,1
18096,0.5,1
18097,0.5,1
18098,0.4375,1
18099,0.3125,1
18100,0.25,1
18101,0.25,1
18102,0.125,1
18103,0.25,1
18104,0.125,1
18105,0.25,1
18106,0.1875,1
18107,0.25,1
18108,0.3125,1
18109,0.3125,1
18110,0.5,1
18111,0.5625,1
18112,0.4375,1
18113,0.4375,1
18114,0.5625,1
18115,0.5,1
18116,0.4375,1
18117,0.5,1
18118,0.5625,1
18119,0.375,1
18120,0.3125,1
18121,0.25,1
18122,0.25,1
18123,0.1875,1
18124,0.1875,1
18125,0.1875,1
18126,0.1875,1
18127,0.1875,1
18128,0.125,1
18129,0.3125,1
18130,0.3125,1
18131,0.375,1
18132,0.5,1
18133,0.5,1
18134,0.5,1
18135,0.5,1
18136,0.5,1
18137,0.5,1
18138,0.5,1
18139,0.5,1
18140,0.5,1
18141,0.25,1
18142,0.25,1
18143,0.125,1
18144,0.125,1
18145,0.125,1
18146,0.25,1
18147,0.375,1
18148,0.1875,1
18149,0.25,1
18150,0.3125,1
18151,0.375,1
18152,0.5,1
18153,0.4375,1
18154,0.5625,1
18155,0.5625,1
18156,0.375,1
18157,0.5,1
18158,0.5,1
18159,0.5625,1
18160,0.5625,1
18161,0.25,1
18162,0.25,1
18163,0.3125,1
18164,0.25,1
18165,0.1875,1
18166,0.125,1
18167,0.1875,1
18168,0.1875,1
18169,0.1875,1
18170,0.1875,1
18171,0.1875,1
18172,0.3125,1
18173,0.4375,1
18174,0.5625,1
18175,0.5,1
18176,0.5,1
18177,0.5,1
18178,0.5,1
18179,0.5,1
18180,0.5,1
18181,0.5,1
18182,0.5,1
18183,0.5,1
18184,0.5625,1
18185,0.5,1
18186,0.5,1
18187,0.4375,1
18188,0.375,1
18189,0.1875,1
18190,0.25,1
18191,0.25,1
18192,0.1875,1
18193,0.25,1
18194,0.125,1
18195,0.1875,1
18196,0.25,1
18197,0.25,1
18198,0.375,1
18199,0.4375,1
18200,0.4375,1
18201,0.5,1
18202,0.5625,1
18203,0.5,1
18204,0.5,1
18205,0.5,1
18206,0.375,1
18207,0.4375,1
18208,0.4375,1
18209,0.25,1
18210,0.1875,1
18211,0.25,1
18212,0.25,1
18213,0.1875,1
18214,0.1875,1
18215,0.25,1
18216,0.1875,1
18217,0.25,1
18218,0.375,1
18219,0.5,1
18220,0.5,1
18221,0.4375,1
18222,0.5625,1
18223,0.4375,1
18224,0.5625,1
