image_id,angle,speed,filename
414,0.8125,1.0,414.png
17532,0.6875,1.0,17532.png
16480,0.3125,0.0,16480.png
6450,0.6875,0.0,6450.png
12314,0.625,0.0,12314.png
829,0.5,0.0,829.png
5237,0.75,1.0,5237.png
12566,0.75,0.0,12566.png
22,0.3125,0.0,22.png
10189,0.625,0.0,10189.png
2466,0.5,1.0,2466.png
8293,0.4375,0.0,8293.png
818,0.8125,1.0,818.png
10580,0.6875,0.0,10580.png
8256,0.4375,1.0,8256.png
4439,0.6875,0.0,4439.png
16912,0.75,1.0,16912.png
2641,0.5,1.0,2641.png
17591,0.125,1.0,17591.png
8906,0.375,1.0,8906.png
1752,0.25,1.0,1752.png
1744,0.5625,0.0,1744.png
11007,0.8125,1.0,11007.png
5061,0.6875,1.0,5061.png
4132,0.8125,1.0,4132.png
12308,0.4375,1.0,12308.png
13733,0.75,1.0,13733.png
16766,0.375,1.0,16766.png
2147,0.8125,0.0,2147.png
9390,0.375,0.0,9390.png
4559,0.6875,0.0,4559.png
7617,0.625,0.0,7617.png
6096,0.5625,1.0,6096.png
7441,0.6875,1.0,7441.png
10453,0.4375,1.0,10453.png
7968,0.5625,0.0,7968.png
522,0.5,1.0,522.png
7520,0.8125,1.0,7520.png
9865,0.75,1.0,9865.png
226,0.8125,1.0,226.png
327,0.5625,1.0,327.png
12044,0.625,1.0,12044.png
8985,0.75,1.0,8985.png
8908,0.75,0.0,8908.png
8500,0.5,0.0,8500.png
10198,0.5,0.0,10198.png
11795,0.8125,1.0,11795.png
207,0.75,1.0,207.png
11961,0.375,1.0,11961.png
7326,0.6875,1.0,7326.png
5165,0.5,0.0,5165.png
13133,0.5,1.0,13133.png
5442,0.6875,1.0,5442.png
5478,0.5,1.0,5478.png
8689,0.625,0.0,8689.png
4537,0.6875,1.0,4537.png
10459,0.75,0.0,10459.png
1202,0.625,1.0,1202.png
1037,0.8125,1.0,1037.png
8791,0.6875,1.0,8791.png
4311,0.3125,0.0,4311.png
10777,0.4375,1.0,10777.png
365,0.625,0.0,365.png
13400,0.8125,1.0,13400.png
12342,0.8125,1.0,12342.png
9285,0.5,1.0,9285.png
996,0.625,0.0,996.png
8573,0.8125,1.0,8573.png
5326,0.6875,1.0,5326.png
405,0.6875,0.0,405.png
11651,0.75,1.0,11651.png
3029,0.5,1.0,3029.png
1703,0.5625,1.0,1703.png
2157,0.875,1.0,2157.png
10086,0.5,1.0,10086.png
10114,0.75,1.0,10114.png
127,0.625,1.0,127.png
1948,0.5625,1.0,1948.png
124,0.6875,1.0,124.png
13593,0.5,1.0,13593.png
10111,0.6875,0.0,10111.png
1264,0.3125,1.0,1264.png
1097,0.625,1.0,1097.png
3363,0.125,1.0,3363.png
11721,0.625,0.0,11721.png
11350,0.75,1.0,11350.png
4199,0.625,1.0,4199.png
8619,0.8125,1.0,8619.png
276,0.5,0.0,276.png
4771,0.625,0.0,4771.png
8676,0.4375,1.0,8676.png
2427,0.625,1.0,2427.png
7762,0.5,0.0,7762.png
4533,0.75,1.0,4533.png
16542,0.4375,1.0,16542.png
13018,0.4375,1.0,13018.png
1564,0.5,1.0,1564.png
9227,0.625,1.0,9227.png
6952,0.5,0.0,6952.png
7267,0.4375,0.0,7267.png
326,0.5,1.0,326.png
7804,0.75,1.0,7804.png
11698,0.8125,1.0,11698.png
8281,0.6875,1.0,8281.png
3988,0.75,0.0,3988.png
10435,0.5625,1.0,10435.png
11572,0.5625,0.0,11572.png
6799,0.6875,1.0,6799.png
7990,0.375,1.0,7990.png
4812,0.75,0.0,4812.png
3465,0.5625,1.0,3465.png
13724,0.4375,1.0,13724.png
7705,0.5625,0.0,7705.png
840,0.8125,1.0,840.png
2394,0.4375,0.0,2394.png
9343,0.625,1.0,9343.png
1402,0.5625,1.0,1402.png
11799,0.625,1.0,11799.png
10932,0.5,1.0,10932.png
5149,0.5625,1.0,5149.png
11436,0.375,1.0,11436.png
10249,0.5625,1.0,10249.png
7417,0.625,0.0,7417.png
8891,0.625,0.0,8891.png
8297,0.6875,0.0,8297.png
4334,0.625,1.0,4334.png
685,0.4375,1.0,685.png
10797,0.8125,1.0,10797.png
12318,0.625,0.0,12318.png
10481,0.5,0.0,10481.png
9784,0.8125,1.0,9784.png
11774,0.625,1.0,11774.png
7812,0.5,0.0,7812.png
1776,0.75,1.0,1776.png
8803,0.4375,0.0,8803.png
8566,0.6875,1.0,8566.png
7215,0.5625,1.0,7215.png
9731,0.4375,0.0,9731.png
1189,0.8125,1.0,1189.png
3962,0.625,1.0,3962.png
10866,0.6875,0.0,10866.png
13514,0.5,1.0,13514.png
4269,0.4375,1.0,4269.png
12352,0.75,0.0,12352.png
3981,0.1875,1.0,3981.png
8356,0.5625,0.0,8356.png
12818,0.625,1.0,12818.png
10208,0.5,1.0,10208.png
11559,0.625,1.0,11559.png
246,0.4375,0.0,246.png
10313,0.75,1.0,10313.png
12410,0.625,1.0,12410.png
11392,0.6875,1.0,11392.png
9226,0.6875,1.0,9226.png
13260,0.75,1.0,13260.png
8644,0.5,0.0,8644.png
10033,0.375,0.0,10033.png
